SourceRow,StageNumber,TimeSinceStartOfTest_s,TimeSinceStartOfStage_s,ShearStrain_pct,q_kPa,p_eff_kPa,PorePressure_kPa,ExcessPorePressure_kPa,VoidRatioInitialWaterContent,VoidRatioFinalWaterContentShifted,AxialStrainRate_pct_min,ShearStrainBeforeCompliance_pct,qBeforeCompliance_kPa,pEffBeforeCompliance_kPa,PlotValid
55,11,930767,324,0.0504725199303099,34.4270881487685,390.875696049589,720.6,18.4,1.0334645604989,1.0464645604989,0.00933424845569701,0.0504725199303099,34.4270881487685,390.875696049589,1
56,11,930773,330,0.0513172482973444,34.8103159754355,390.703438658479,720.9,18.6999999999999,1.0334645604989,1.0464645604989,0.00932368935110913,0.0513172482973444,34.8103159754355,390.703438658479,1
57,11,930779,336,0.0523731587561375,35.2482028484624,390.649400949487,721.1,18.9,1.0334645604989,1.0464645604989,0.00930257114193331,0.0523731587561375,35.2482028484624,390.649400949487,1
58,11,930785,342,0.053217887123172,35.6314164197136,390.677138806571,721.2,19,1.0334645604989,1.0464645604989,0.00929201203742994,0.053217887123172,35.6314164197136,390.677138806571,1
59,11,930791,348,0.0540626154902064,35.9597727167236,390.486590905575,721.5,19.3,1.0334645604989,1.0464645604989,0.00927089382825396,0.0540626154902064,35.9597727167236,390.486590905575,1
60,11,930797,354,0.0551185259489995,36.2879349581688,390.29597831939,721.8,19.5999999999999,1.0334645604989,1.0464645604989,0.00924977561899382,0.0551185259489995,36.2879349581688,390.29597831939,1
61,11,930803,360,0.055963254316034,36.5614296927231,390.187143230908,722,19.8,1.0334645604989,1.0464645604989,0.00923921651440598,0.055963254316034,36.5614296927231,390.187143230908,1
62,11,930809,366,0.0568079826830685,36.8897690686704,389.996589689557,722.3,20.0999999999999,1.0334645604989,1.0464645604989,0.00922865740981814,0.0568079826830685,36.8897690686704,389.996589689557,1
63,11,930815,372,0.057652711050103,37.2181028815285,389.706034293843,722.7,20.5,1.0334645604989,1.0464645604989,0.00921809830531399,0.057652711050103,37.2181028815285,389.706034293843,1
64,11,930821,378,0.058708621508896,37.6010882073963,389.533696069132,723,20.8,1.0334645604989,1.0464645604989,0.00920753920072599,0.058708621508896,37.6010882073963,389.533696069132,1
65,11,930827,384,0.0595533498759305,37.9294097350994,389.443136578366,723.2,21,1.0334645604989,1.0464645604989,0.00918642099146653,0.0595533498759305,37.9294097350994,389.443136578366,1
66,11,930833,390,0.060398078242965,38.2577256997131,389.352575233238,723.4,21.1999999999999,1.0334645604989,1.0464645604989,0.00917586188687861,0.060398078242965,38.2577256997131,389.352575233238,1
67,11,930839,396,0.0614539887017581,38.585842741059,389.161947580353,723.7,21.5,1.0334645604989,1.0464645604989,0.00917586188687861,0.0614539887017581,38.585842741059,389.161947580353,1
